Name,alpha,lr,reg_lambda,accuracy,quantized_accuracy,quantized_test_accuracy,quantized_test_loss,test_accuracy,test_loss,,,,,TL,TA,QTA,BA
ASkewSGD,0.002,0.06,,95.94166565,94.44499969,94.5799942,524.8339541,95.3299942,152.1428294,,,,,143.5010187,95.7759964,94.46999664,95.13999939
ASkewSGD,0.002,0.06,,96.3666687,94.1083374,93.86000061,584.7278159,95.83999634,136.9512537,,,,,6.34335073,0.298379256,0.508330454,
ASkewSGD,0.002,0.06,,96.39333344,94.90666962,94.68999481,492.5793567,96.04999542,137.9783713,,,,,,,,
ASkewSGD,0.002,0.06,,96.50666809,94.53166962,94.0799942,540.2601898,96.01999664,147.0855348,,,,,,,,
ASkewSGD,0.002,0.06,,96.26499939,95.47000122,95.13999939,427.1362287,95.63999939,143.3471043,,,,,,,,
Deterministic BinaryConnect,0,0.0002,,59.84833527,95.80999756,93.63999939,17.40045396,58.7899971,2.289998691,,,,,2.289059541,58.7039978,93.26399689,93.65999603
Deterministic BinaryConnect,0,0.0002,,55.16833496,96.14666748,93.65999603,19.61753712,55.93999863,2.287536893,,,,,0.001347439,4.058314512,0.45544483,
Deterministic BinaryConnect,0,0.0002,,59.03333282,95.21833801,92.94999695,19.40186014,59.23999786,2.290537746,,,,,,,,
Deterministic BinaryConnect,0,0.0002,,65.45500183,95.97166443,93.43999481,19.17301629,65.04999542,2.287752953,,,,,,,,
Deterministic BinaryConnect,0,0.0002,,54.64500046,94.72333527,92.62999725,20.53888454,54.5,2.289471421,,,,,,,,
ProxQuant,,0.06,0.0001,98.16999817,93.57167053,93.41999817,539.0173156,97.22999573,0.088589106,,,,,0.088922561,97.24799652,93.75399628,94.93999481
ProxQuant,,0.06,0.0001,98.12166595,93.93000031,93.33999634,539.3366931,97.19999695,0.090292995,,,,,0.000977,0.034206213,1.099536089,
ProxQuant,,0.06,0.0001,98.1333313,95.11499786,94.76999664,461.267675,97.29000092,0.089547149,,,,,,,,
ProxQuant,,0.06,0.0001,98.16000366,92.58499908,92.29999542,654.3908398,97.25999451,0.087921011,,,,,,,,
ProxQuant,,0.06,0.0001,98.14500427,95.60500336,94.93999481,407.833059,97.25999451,0.088262544,,,,,,,,
SGD,0.002,0.06,,98.14500427,92.25167084,92.12999725,676.6531302,97.23999786,0.089106266,,,,,0.089410934,97.26799927,93.54399872,94.93999481
SGD,0.002,0.06,,98.1083374,94.34333801,93.93000031,510.3272597,97.27999878,0.090455257,,,,,0.000699385,0.032711078,1.270306239,
SGD,0.002,0.06,,98.09666443,94.95333099,94.43000031,496.8091552,97.31999969,0.089511045,,,,,,,,
SGD,0.002,0.06,,98.14833069,92.76499939,92.29000092,646.2916934,97.25,0.088538006,,,,,,,,
SGD,0.002,0.06,,98.14500427,95.77000427,94.93999481,403.651733,97.25,0.089444096,,,,,,,,
