Name,alpha,architecture,batch_size,bit_width,dataset,lr,reg_lambda,accuracy,quantized_accuracy,quantized_test_accuracy,quantized_test_loss,test_accuracy,test_loss,TL,TA,QTA,BA
SGD,,MLP,50,2,MNIST,0.006,,95.30833435,90.39500427,90.61999512,185.9116403,95.19999695,0.167294515,0.16775667,95.1239975,89.19199677,91.70999908
SGD,,MLP,50,2,MNIST,0.006,,95.33833313,85.74666595,85.62999725,272.1942024,95.13999939,0.16717718,0.003860767,0.156619749,2.299015223,
SGD,,MLP,50,2,MNIST,0.006,,95.13500214,89.47833252,89.01999664,199.3073818,94.84999847,0.17435872,,,,
SGD,,MLP,50,2,MNIST,0.006,,95.37667084,92.16333771,91.70999908,131.8765493,95.22999573,0.164861152,,,,
SGD,,MLP,50,2,MNIST,0.006,,95.29499817,89.25499725,88.97999573,200.4008786,95.19999695,0.165091785,,,,
Deterministic MultiBitConnect,0,MLP,50,2,MNIST,0.0002,,86.97166443,96.64167023,93.51999664,3.765972321,86.20999908,2.290102024,2.287592825,86.66599884,94.2539978,94.79999542
Deterministic MultiBitConnect,0,MLP,50,2,MNIST,0.0002,,88.01333618,97.76667023,94.29999542,4.774064373,86.29000092,2.285952725,0.002375986,0.854709771,0.48515973,
Deterministic MultiBitConnect,0,MLP,50,2,MNIST,0.0002,,89.05166626,97.41333771,94.54000092,4.144569032,87.91999817,2.286988165,,,,
Deterministic MultiBitConnect,0,MLP,50,2,MNIST,0.0002,,87.25167084,98.10666656,94.79999542,5.165602071,85.77999878,2.28489208,,,,
Deterministic MultiBitConnect,0,MLP,50,2,MNIST,0.0002,,87.20500183,96.7333374,94.11000061,3.693241272,87.12999725,2.290029132,,,,
ProxQuant,,MLP,50,2,MNIST,0.0075,0.00004,96.08833313,91.70000458,91.5799942,126.1242193,95.72999573,0.144014678,0.144718494,95.74799652,87.4759964,93.3299942
ProxQuant,,MLP,50,2,MNIST,0.0075,0.00004,96.06666565,77.32666779,77.33000183,354.8569424,95.75999451,0.144727909,0.002962509,0.068336255,6.232639294,
ProxQuant,,MLP,50,2,MNIST,0.0075,0.00004,95.88666534,86.86333466,86.75999451,190.2304355,95.63999939,0.14973914,,,,
ProxQuant,,MLP,50,2,MNIST,0.0075,0.00004,96.12833405,93.1866684,93.3299942,62.50935752,95.80999756,0.142404865,,,,
ProxQuant,,MLP,50,2,MNIST,0.0075,0.00004,96.0633316,88.75167084,88.37999725,161.3360934,95.79999542,0.142705878,,,,
ASkewSGD,0.02,MLP,50,2,MNIST,0.06,,99.70000458,98.54000092,97.13999939,338.2721434,97.84999847,0.067185328,0.067650501,97.93599854,97.25799866,97.54999542
ASkewSGD,0.02,MLP,50,2,MNIST,0.06,,99.66999817,98.56500244,97.36000061,323.2111975,97.93000031,0.068850956,0.000963766,0.074699575,0.251732876,
ASkewSGD,0.02,MLP,50,2,MNIST,0.06,,99.72000122,98.26333618,96.88999939,393.6025481,97.87999725,0.06839628,,,,
ASkewSGD,0.02,MLP,50,2,MNIST,0.06,,99.71833801,98.83000183,97.54999542,311.7853166,98.02999878,0.066459999,,,,
ASkewSGD,0.02,MLP,50,2,MNIST,0.06,,99.68167114,98.90000153,97.34999847,345.8259712,97.98999786,0.067359944,,,,
